常用语分组,常用语内容
开工,"再次恭祝：XX先生XX女士开工大吉！
尊敬的业主您好！再次介绍下我是品诺筑家项目经理：XXX，我的联系方式为：XXXXXXXX，咱们家的基础装修（水电，泥工，木工，乳胶漆)的工期把控，工程质量的监督，工人的调度都将由我负责，以及主材（木门，橱柜，钛镁合金门，定制衣柜）的测量和辅料的进场时间安排，包括对主材的安装进度进行跟踪，以及对主材安装质量进行验收当然后期家电家具之类的我也可以给您做一个参考和推荐。施工过程中有任何的疑问都可以随时与我沟通，工地的施工进度我会每天以文字和图片的形式发到群内，希望我们合作愉快。祝：xX先生XX女士工作顺利，财源滚滚！"
开工,汇报标题→→
开工,"【品诺筑家 进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【开工】，现在向您发送今日施工情况，请您查收。"
开工,汇报内容→→
开工,KJ-防盗门正反面完好无缺，拉手和锁运行正常。
开工,可视对讲及挂件  个
开工,KJ-开工大吉保护膜：对入户防盗门进行保护，防止防盗门被刮花、刮伤，若是木门用无纺布经行保护，防止后期掉漆。
开工,"	KJ-空鼓：客厅顶面、墙面，卧室顶面、墙面有空鼓现象，已做标记，需要提前告知物业公司进行处理、报备。"
开工,KJ-卧室，客厅，餐厅原始墙面有基础施工洞口，已经发现多处裂纹，我已经标记好了，后期力工进场会按照我们施工标准进行开槽处理。
开工,KJ-原有卧室窗户完好无损，拉手合页正常。
开工,"	KJ-阳台防护栏牢固，没有发现不正常松动。"
开工,KJ-煤气表1个，完好，未开通煤气。
开工,KJ-购房配置开关0个，通电测试均完好无损。
开工,KJ-购房配置插座0个，通电测试均完好无损。
开工,KJ-购房配置灯泡0个，通电测试均完好无损。
开工,KJ-购房配置配电箱1个，购房配置弱电箱1个，通电测试均完好无损。
开工,KJ-等电位箱0个，完好无损。
开工,KJ-空调孔0个，正常。
开工,KJ-主次卫排水管经测试水流通畅，无堵塞现象。
开工,KJ-厨房烟道经检查通风正常。
开工,"KJ-主次卫生间经检查没有发现楼下楼上有漏水痕迹,阳台顶面及地面经检查无漏水痕迹。"
开工,KJ-临时蹲便器：工地工人临时专用。
开工,KJ-燃气表保护套：在施工中对燃气表以及燃气管进行保护。
开工,KJ-下水管封：施工中有效防止沙子水泥杂物掉入下水管道。
开工,KJ—下水管检修口：经检查主下水管检修口无松动漏水痕迹。
开工,厨房卫生间门洞大小
开工,汇报结尾→→
开工,品诺筑家项目经理XX从现场为您发来的施工进度，请感谢各位的配合与支持，祝生活愉快，家庭幸福！
开工,"【总施工计划表】
尊敬的业主您好，根据施工工期，您家新房装修【开工到乳胶漆】完毕，大致需要纯施工时间为【40】天左右。现将工程进度调整安排如下，此安排与工地进度表同步进行。(以下内容请保存或收藏)

1.【杂工】完成作业时间1-3天
2.【水电】完成作业时间3-5天
3.【地暖】完成作业时间5-7天
4.【瓦工】完成作业时间6-天
5.【木作】完成作业时间2-5天
6.【油工】完成作业时间7-天

施工进度为工期预排，不包含中途主材因素和施工项目变更影响的工期不确定，仅供您参考。如遇不可抗拒因素(如地质灾害、天气、物业作息、停电/水等)导致无法施工，双方协商工期顺延，感谢您的配合，具体事宜请关注一周计划和时时工地进度汇报。品诺筑家项目经理祝您生活愉快，身体健康！"
开工,【品诺筑家·周计划】周一施工：XX  周二施工：XX  周三施工：XX  周四施工：XX  周五施工：XX  周六施工：XX  周日施工：XX
开工,"【明日工地计划】
尊敬的业主您好，您明天新家的工作计划如下（如有偏差、以每日汇报为准）

1.XX
2.XX

工作计划如有变动我将随时进行汇报，让您时时了解工地动态，请您放心。品诺筑家项目经理祝生活愉快，事事顺心！"
墙地固,汇报标题→→
墙地固,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【墙地固施工】，施工负责人：XXX   现在向您发送今日施工情况，请您查收。"
墙地固,QJ-铲大白：1.原始工程腻子环保系数较差，2.便于墙面找平，原始墙面可能高低不平，铲除腻子便于石膏找平，提高施工标准。3.防止墙面附着力低，从而造成刮腻子和基层墙体结合不牢，容易空鼓或腻子脱落。
墙地固,QJ-黄色墙固：墙面加固处理剂是采用聚合物乳液和其他有机聚合物添加助剂精心配制而成，该产品为浅黄色液体，具有优异的渗透性，能充分浸润墙面基层，使基层坚固，增强光滑基面的附着力，粘接强度高，可营造出一个安全放心的墙面基层，可极大程度上避免墙面涂料层出现质量问题。
